,train_accuracy,test_accuracy,test_precision,test_recall,test_f1
Random Forest,1.0,0.956140350877193,0.9560729421281235,0.956140350877193,0.9560273762928302
Gradient Boosting,1.0,0.956140350877193,0.9568690958164642,0.956140350877193,0.9557756825927252
SVM,0.9846153846153847,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
Logistic Regression,0.9868131868131869,0.9736842105263158,0.9737105878629081,0.9736842105263158,0.9736164257756981
